#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
us6000m0xl|2024-01-01T07:10:09.476|37.4874|137.271|10|us|us|us|us6000m0xl|mww|7.5|us|2024 Noto Peninsula, Japan Earthquake
us7000n05d|2024-07-19T01:50:48.571|-23.0791|-67.8404|127.291|us|us|us|us7000n05d|mww|7.4|us|41 km ESE of San Pedro de Atacama, Chile
us7000m9g4|2024-04-02T23:58:12.173|23.8356|121.5976|40|us|us|us|us7000m9g4|mww|7.4|us|15 km S of Hualien City, Taiwan
us7000nzf3|2024-12-17T01:47:25.741|-17.6914|168.0842|54.372|us|us|us|us7000nzf3|mww|7.3|us|24 km WNW of Port-Vila, Vanuatu
us6000n8tq|2024-06-28T05:36:36.902|-15.8277|-74.454|24|us|us|us|us6000n8tq|mww|7.2|us|10 km WSW of Atiquipa, Peru
us6000nith|2024-08-08T07:42:55.206|31.7599|131.5021|24|us|us|us|us6000nith|mww|7.1|us|2024 Hyuganada Sea, Japan Earthquake
us7000myfa|2024-07-11T02:13:18.585|6.0838|123.1503|639.503|us|us|us|us7000myfa|mww|7.1|us|106 km WSW of Sangay, Philippines
nc75095651|2024-12-05T18:44:21.110|40.374|-125.021666666667|10|nc|nc|nc|nc75095651|mw|7|nc|2024 Offshore Cape Mendocino, California Earthquake
us7000n7n8|2024-08-17T19:10:26.820|52.9308|160.1331|29|us|us|us|us7000n7n8|mww|7|us|102 km E of Petropavlovsk-Kamchatsky, Russia
us7000lsze|2024-01-22T18:09:04.340|41.2555|78.6538|13|us|us|us|us7000lsze|mww|7|us|128 km WNW of Aykol, China
us7000n9dt|2024-08-25T23:29:07.544|-19.8125|-175.0711|96|us|us|us|us7000n9dt|mww|6.9|us|75 km W of Pangai, Tonga
us6000mksx|2024-03-23T20:22:04.348|-4.1292|143.134|41.464|us|us|us|us6000mksx|mww|6.9|us|36 km ENE of Ambunti, Papua New Guinea
us6000pfw7|2024-12-27T12:47:37.039|47.2476|151.2223|146|us|us|us|us6000pfw7|mww|6.8|us|Kuril Islands
us7000nr0v|2024-11-10T16:49:50.485|19.8166|-77.0323|14|us|us|us|us7000nr0v|mww|6.8|us|39 km SSW of Bartolomé Masó, Cuba
us6000nhqc|2024-08-02T22:23:02.111|8.1851|126.6161|32|us|us|us|us6000nhqc|mww|6.8|us|20 km E of Barcelona, Philippines
us7000ma2w|2024-04-05T11:03:16.357|19.1103|145.3659|222|us|us|us|us7000ma2w|mww|6.8|us|Maug Islands region, Northern Mariana Islands
us6000mghc|2024-03-03T16:16:53.995|-58.8881|159.1441|23.187|us|us|us|us6000mghc|mww|6.8|us|Macquarie Island region
us6000m2jp|2024-01-08T20:48:42.361|4.9225|126.1575|62.574|us|us|us|us6000m2jp|mww|6.7|us|93 km SE of Sarangani, Philippines
us7000nrwz|2024-11-15T05:28:30.650|-4.7548|153.2923|56|us|us|us|us7000nrwz|mww|6.6|us|122 km ESE of Kokopo, Papua New Guinea
us7000nhjw|2024-10-01T20:05:34.967|-19.2886|-173.0007|10|us|us|us|us7000nhjw|mww|6.6|us|125 km SE of Neiafu, Tonga
us7000my76|2024-07-10T04:55:41.780|-53.3092|25.3481|4|us|us|us|us7000my76|mww|6.6|us|south of Africa
us6000n158|2024-05-26T20:47:12.057|-19.3431|-174.841|137|us|us|us|us6000n158|mww|6.6|us|70 km NW of Fangale’ounga, Tonga
us6000m52p|2024-01-20T21:31:05.092|-7.2879|-71.464|607|us|us|us|us6000m52p|mww|6.6|us|123 km NW of Tarauacá, Brazil
us7000ne51|2024-09-15T22:22:48.018|51.6088|-130.6121|3.766|us|us|us|us7000ne51|mww|6.5|us|271 km WNW of Port McNeill, Canada
us6000nj9s|2024-08-10T03:28:32.681|47.223|144.7915|402.166|us|us|us|us6000nj9s|mww|6.5|us|151 km E of Dolinsk, Russia
us6000mu8k|2024-04-27T08:35:34.207|27.8209|139.6186|496|us|us|us|us6000mu8k|mww|6.5|us|Bonin Islands, Japan region
us7000mc2t|2024-04-14T20:56:28.201|-5.8565|151.0953|49|us|us|us|us7000mc2t|mww|6.5|us|111 km ESE of Kimbe, Papua New Guinea
us7000lui3|2024-01-28T09:38:56.538|-8.236|-71.4005|621.081|us|us|us|us7000lui3|mww|6.5|us|70 km W of Tarauacá, Brazil
us7000nyqr|2024-12-13T23:38:18.234|-35.33|-70.7256|109|us|us|us|us7000nyqr|mww|6.4|us|56 km ESE of Molina, Chile
us6000np3z|2024-09-01T20:13:34.201|-6.8295|155.5297|39|us|us|us|us6000np3z|mww|6.4|us|56 km S of Panguna, Papua New Guinea
us7000mykj|2024-07-11T15:08:47.169|48.7877|-128.7103|10|us|us|us|us7000mykj|mww|6.4|us|209 km WSW of Tofino, Canada
us6000my20|2024-05-12T11:39:12.718|14.4264|-92.4617|61.91|us|us|us|us6000my20|mww|6.4|us|28 km WSW of Brisas Barra de Suchiate, Mexico
us7000maxr|2024-04-09T09:47:59.810|2.6982|127.0624|22|us|us|us|us7000maxr|mww|6.4|us|150 km NW of Tobelo, Indonesia
us7000m9gc|2024-04-03T00:11:25.266|24.1021|121.6812|13.931|us|us|us|us7000m9gc|mww|6.4|us|15 km NNE of Hualien City, Taiwan
us7000m86i|2024-03-27T01:28:17.689|-21.0715|173.7373|10|us|us|us|us7000m86i|mww|6.4|us|Vanuatu region
us6000mkfz|2024-03-22T08:52:58.999|-5.8754|112.3646|9.471|us|us|us|us6000mkfz|mww|6.4|us|110 km N of Paciran, Indonesia
us6000m4js|2024-01-18T22:12:21.755|-18.9103|-175.4225|209|us|us|us|us6000m4js|mww|6.4|us|148 km NW of Fangale’ounga, Tonga
us6000m31m|2024-01-11T09:20:26.337|36.4979|70.6013|204|us|us|us|us6000m31m|mww|6.4|us|45 km SSW of Jurm, Afghanistan
us7000nx5r|2024-12-09T00:15:30.691|50.9985|-177.1779|19|us|us|us|us7000nx5r|mww|6.3|us|104 km SSW of Adak, Alaska
us7000nx3z|2024-12-08T19:57:08.602|51.0018|-177.3278|18|us|us|us|us7000nx3z|mww|6.3|us|108 km SSW of Adak, Alaska
us7000nql2|2024-11-08T11:38:00.376|-46.7807|-75.6402|10|us|us|us|us7000nql2|mww|6.3|us|239 km WNW of Cochrane, Chile
us7000ngmr|2024-09-26T19:19:28.664|-17.199|66.5336|10|us|us|us|us7000ngmr|mww|6.3|us|Mauritius - Reunion region
us7000ne84|2024-09-16T11:36:34.522|17.1539|147.2254|31|us|us|us|us7000ne84|mww|6.3|us|266 km NE of Saipan, Northern Mariana Islands
us7000nd4f|2024-09-11T16:46:05.054|-3.2871|146.4088|8|us|us|us|us7000nd4f|mww|6.3|us|168 km SW of Lorengau, Papua New Guinea
us6000nht0|2024-08-03T04:20:26.565|8.2038|126.8354|15|us|us|us|us6000nht0|mww|6.3|us|44 km E of Barcelona, Philippines
us7000mu8s|2024-06-24T08:03:37.383|-14.6255|167.2426|149|us|us|us|us7000mu8s|mww|6.3|us|49 km NNE of Port-Olry, Vanuatu
us6000n102|2024-05-25T22:23:15.997|-17.1173|167.8706|22|us|us|us|us6000n102|mww|6.3|us|83 km NW of Port-Vila, Vanuatu
us7000mcpi|2024-04-17T14:14:46.694|33.2503|132.3647|32|us|us|us|us7000mcpi|mww|6.3|us|18 km W of Uwajima, Japan
us7000m0zq|2024-02-23T01:51:13.973|-35.0892|-110.7745|10|us|us|us|us7000m0zq|mww|6.3|us|southern East Pacific Rise
us7000lt73|2024-01-23T14:33:45.022|-17.9827|168.0499|31|us|us|us|us7000lt73|mww|6.3|us|39 km SW of Port-Vila, Vanuatu
us7000nmlt|2024-10-23T14:38:04.614|49.394|155.6369|40|us|us|us|us7000nmlt|mww|6.2|us|146 km SSW of Severo-Kuril’sk, Russia
us6000nyau|2024-10-12T17:43:44.516|10.4967|-86.1497|16|us|us|us|us6000nyau|mww|6.2|us|40 km WNW of Tamarindo, Costa Rica
us6000nps8|2024-09-05T01:03:15.672|-3.5428|144.1953|7|us|us|us|us6000nps8|mww|6.2|us|59 km NNE of Angoram, Papua New Guinea
us7000n0ka|2024-07-21T02:53:48.910|14.6445|-89.9316|272|us|us|us|us7000n0ka|mww|6.2|us|6 km E of Jalapa, Guatemala
us7000mxmu|2024-07-07T20:01:12.295|26.8957|138.8289|546|us|us|us|us7000mxmu|mww|6.2|us|Bonin Islands, Japan region
us7000mrbr|2024-06-09T09:55:49.381|-53.8559|-133.9509|10|us|us|us|us7000mrbr|mww|6.2|us|Pacific-Antarctic Ridge
us7000mp9e|2024-05-31T15:54:40.923|-28.9579|-176.8653|16|us|us|us|us7000mp9e|mww|6.2|us|Kermadec Islands region
us7000mp99|2024-05-31T15:46:09.810|-43.3059|41.7226|10|us|us|us|us7000mp99|mww|6.2|us|Prince Edward Islands region
us7000m9bq|2024-04-02T09:54:08.569|15.8146|146.8779|10|us|us|us|us7000m9bq|mww|6.2|us|137 km ENE of Saipan, Northern Mariana Islands
us6000miy6|2024-03-14T21:10:24.786|29.7971|-42.6608|10|us|us|us|us6000miy6|mww|6.2|us|northern Mid-Atlantic Ridge
us6000m53t|2024-01-20T22:09:39.708|-39.93|46.1966|10|us|us|us|us6000m53t|mww|6.2|us|Southwest Indian Ridge
us6000m0xm|2024-01-01T07:18:41.584|37.1895|136.8272|10|us|us|us|us6000m0xm|mb|6.2|us|8 km SW of Anamizu, Japan
us7000p0lv|2024-12-21T15:30:53.221|-17.7124|168.0329|46|us|us|us|us7000p0lv|mww|6.1|us|29 km W of Port-Vila, Vanuatu
us7000nx5z|2024-12-09T00:38:52.848|50.8586|-177.443|10|us|us|us|us7000nx5z|mww|6.1|us|126 km SSW of Adak, Alaska
us7000nu90|2024-11-26T13:47:03.411|36.9549|136.3653|8|us|us|us|us7000nu90|mww|6.1|us|38 km WNW of Hakui, Japan
us7000nsa3|2024-11-17T12:16:29.874|29.0424|131.3968|8|us|us|us|us7000nsa3|mww|6.1|us|156 km SSE of Koshima, Japan
us7000nhex|2024-10-01T09:28:05.313|-5.9828|124.8988|576|us|us|us|us7000nhex|mww|6.1|us|260 km ESE of Baubau, Indonesia
us6000nncs|2024-08-28T21:57:54.957|13.0471|-89.583|26.358|us|us|us|us6000nncs|mww|6.1|us|56 km SSW of La Libertad, El Salvador
us7000n7b8|2024-08-15T23:35:53.943|23.7491|121.7669|14|us|us|us|us7000n7b8|mww|6.1|us|30 km SSE of Hualien City, Taiwan
us7000n0s8|2024-07-22T05:04:27.743|-15.5073|168.1241|4|us|us|us|us7000n0s8|mww|6.1|us|99 km NE of Norsup, Vanuatu
us6000n948|2024-06-29T07:05:32.855|-16.0485|-74.556|18|us|us|us|us6000n948|mww|6.1|us|34 km SW of Atiquipa, Peru
us6000mx5c|2024-05-08T08:17:15.894|-15.1324|168.0214|19.175|us|us|us|us6000mx5c|mww|6.1|us|101 km ENE of Luganville, Vanuatu
us6000mwjd|2024-05-05T18:33:11.021|-3.3167|130.9618|16|us|us|us|us6000mwjd|mww|6.1|us|154 km WSW of Fakfak, Indonesia
us6000muc0|2024-04-27T16:29:50.643|-8.005|107.2798|59.701|us|us|us|us6000muc0|mww|6.1|us|91 km S of Banjar, Indonesia
us6000mt0s|2024-04-22T18:32:48.439|23.8586|121.5662|10|us|us|us|us6000mt0s|mww|6.1|us|13 km SSW of Hualien City, Taiwan
us6000mt0r|2024-04-22T18:26:52.852|23.7141|121.6599|9|us|us|us|us6000mt0r|mww|6.1|us|29 km S of Hualien City, Taiwan
us7000m9sq|2024-04-04T03:16:30.313|37.7104|141.856|29|us|us|us|us7000m9sq|mww|6.1|us|77 km E of Minami-Sōma, Japan
us6000mgyj|2024-03-05T19:52:52.612|-59.1953|158.7607|10|us|us|us|us6000mgyj|mww|6.1|us|Macquarie Island region
us7000lym6|2024-02-12T11:19:34.858|22.0086|142.7919|236|us|us|us|us7000lym6|mww|6.1|us|Volcano Islands, Japan region
us7000lxyv|2024-02-09T10:57:48.482|-29.9268|-177.2323|13|us|us|us|us7000lxyv|mww|6.1|us|Kermadec Islands, New Zealand
us7000luai|2024-01-27T05:52:48.419|14.0636|-90.6159|90|us|us|us|us7000luai|mww|6.1|us|15 km W of Taxisco, Guatemala
us6000m50e|2024-01-20T15:48:40.121|18.5192|145.6341|184|us|us|us|us6000m50e|mww|6.1|us|Pagan region, Northern Mariana Islands
us7000nx17|2024-12-08T10:25:00.081|48.867|152.3071|207|us|us|us|us7000nx17|mww|6|us|Kuril Islands
us7000np33|2024-10-30T20:15:20.095|43.5842|-127.6418|10|us|us|us|us7000np33|mww|6|us|267 km W of Bandon, Oregon
us7000nnz9|2024-10-30T12:18:51.671|-4.4064|150.0827|509|us|us|us|us7000nnz9|mww|6|us|126 km N of Kimbe, Papua New Guinea
us6000nyzk|2024-10-16T07:46:32.516|38.3115|38.8059|10|us|us|us|us6000nyzk|mww|6|us|19 km W of Doğanyol, Turkey
us6000ntxc|2024-09-23T19:51:02.568|-0.0469|122.8918|143|us|us|us|us6000ntxc|mww|6|us|67 km SSW of Gorontalo, Indonesia
us6000ntjh|2024-09-21T21:24:28.737|-31.8909|-66.887|141|us|us|us|us6000ntjh|mww|6|us|95 km NNW of Villa General Roca, Argentina
us6000nnlx|2024-08-30T04:24:22.983|53.0016|160.3787|26|us|us|us|us6000nnlx|mww|6|us|117 km E of Petropavlovsk-Kamchatsky, Russia
us7000n9dz|2024-08-25T23:30:51.981|-19.7667|-174.9814|99.28|us|us|us|us7000n9dz|mb|6|us|65 km W of Pangai, Tonga
us6000ngng|2024-07-29T13:07:11.966|-20.3812|-173.9806|9|us|us|us|us6000ngng|mww|6|us|73 km SSE of Pangai, Tonga
us7000n068|2024-07-19T03:13:47.417|52.0859|-170.9116|40.972|us|us|us|us7000n068|mwr|6|us|168 km SW of Nikolski, Alaska
us7000mu1p|2024-06-23T03:57:58.918|10.6921|-62.6868|77|us|us|us|us7000mu1p|mww|6|us|20 km NE of Yaguaraparo, Venezuela
us7000mstj|2024-06-16T14:47:33.155|-15.8557|-74.4353|27|us|us|us|us7000mstj|mww|6|us|10 km SW of Atiquipa, Peru
us7000msqt|2024-06-16T00:27:56.629|-60.9499|154.3353|7.727|us|us|us|us7000msqt|mww|6|us|west of Macquarie Island
us6000mzme|2024-05-19T09:35:24.660|52.0681|-170.9122|28|us|us|us|us6000mzme|mww|6|us|169 km SW of Nikolski, Alaska
us6000milg|2024-03-13T15:13:22.779|-5.831|150.6843|44|us|us|us|us6000milg|mww|6|us|68 km ESE of Kimbe, Papua New Guinea
us7000m439|2024-03-08T09:11:45.110|5.8168|126.9407|115|us|us|us|us7000m439|mww|6|us|103 km SE of Pondaguitan, Philippines
us7000lz5f|2024-02-14T11:40:22.125|11.0047|138.5725|14|us|us|us|us7000lz5f|mww|6|us|171 km NNE of Colonia, Micronesia
us6000pfuq|2024-12-27T05:30:07.144|34.0302|-38.6982|10|us|us|us|us6000pfuq|mww|5.9|us|northern Mid-Atlantic Ridge
